date,sentiment_classfn,xrp_price
2021-03-07,1266,0.46558
2021-03-08,1312,0.47412
2021-03-09,1299,0.4849
2021-03-10,1275,0.46155
2021-03-11,1257,0.45187
2021-03-12,1275,0.43934
2021-03-13,1323,0.45787
2021-03-14,1286,0.43905
2021-03-15,1278,0.43574
2021-03-16,1363,0.46024
2021-03-17,1307,0.4698
2021-03-18,1314,0.46893
2021-03-19,1293,0.46651
2021-03-20,1567,0.52613
2021-03-21,1387,0.51651
2021-03-22,1603,0.5441
2021-03-23,1493,0.5498
2021-03-24,1317,0.48021
2021-03-25,1340,0.51058
2021-03-26,1423,0.56357
2021-03-27,1344,0.54752
2021-03-28,1316,0.54552
2021-03-29,1336,0.56538
2021-03-30,1377,0.5621
2021-03-31,1317,0.56982
2021-04-01,1317,0.57087
2021-04-02,1466,0.60701
2021-04-03,1592,0.57831
2021-04-04,1377,0.635
2021-04-05,2573,0.91584
2021-04-06,2225,1.09663
2021-04-07,1568,0.91542
2021-04-08,1753,1.05599
2021-04-09,1673,1.01721
2021-04-10,2606,1.3728
2021-04-11,2038,1.35118
2021-04-12,1899,1.46843
2021-04-13,3289,1.79611
2021-04-14,2561,1.83468
2021-04-15,1958,1.75781
2021-04-16,1915,1.54805
2021-04-17,1710,1.53896
2021-04-18,1733,1.40797
2021-04-19,1660,1.30945
2021-04-20,1685,1.38501
2021-04-21,1617,1.29097
2021-04-22,1615,1.15489
2021-04-23,1532,1.17073
2021-04-24,1395,1.04833
2021-04-25,1489,1.0351
2021-04-26,1860,1.3629
2021-04-27,1935,1.4017
2021-04-28,1560,1.3576
2021-04-29,1624,1.3978
2021-04-30,2419,1.5988
2021-05-01,1786,1.651
2021-05-02,1572,1.5605
2021-05-03,1526,1.5546
2021-05-04,1441,1.3877
2021-05-05,1631,1.6133
2021-05-06,1847,1.6028
2021-05-07,1497,1.5793
2021-05-08,1377,1.5611
2021-05-09,1376,1.5345
2021-05-10,1394,1.3906
2021-05-11,1331,1.4786
2021-05-12,1407,1.2691
2021-05-13,1353,1.364
2021-05-14,1434,1.4
2021-05-15,1674,1.4904
2021-05-16,1500,1.4496
2021-05-17,1509,1.4946
2021-05-18,1660,1.5889
2021-05-19,1462,1.0568
2021-05-20,1414,1.1795
2021-05-21,1642,1.0062
2021-05-22,1319,0.9052
2021-05-23,1399,0.7898
2021-05-24,1448,0.993
2021-05-25,1445,0.9746
2021-05-26,1396,1.0316
2021-05-27,1350,0.9747
2021-05-28,1334,0.8985
2021-05-29,1305,0.8318
2021-05-30,1380,0.9058
2021-05-31,1552,1.0409
2021-06-01,1386,1.0108
2021-06-02,1358,1.0241
2021-06-03,1351,1.045
2021-06-04,1321,0.9683
2021-06-05,1300,0.923
2021-06-06,1328,0.947
2021-06-07,1353,0.8618
2021-06-08,1303,0.8731
2021-06-09,1313,0.9218
2021-06-10,1280,0.8686
2021-06-11,1306,0.8471
2021-06-12,1317,0.8326
2021-06-13,1325,0.8832
2021-06-14,1304,0.8906
2021-06-15,1297,0.8663
2021-06-16,1266,0.832
2021-06-17,1295,0.8419
2021-06-18,1292,0.7972
2021-06-19,1282,0.7582
2021-06-20,1299,0.7741
2021-06-21,1300,0.6067
2021-06-22,1271,0.5468
2021-06-23,1357,0.6383
2021-06-24,1327,0.6731
2021-06-25,1275,0.6111
2021-06-26,1281,0.6162
2021-06-27,1268,0.6484
2021-06-28,1284,0.6444
2021-06-29,1372,0.7063
2021-06-30,1287,0.7063
2021-07-01,1276,0.6591
2021-07-02,1290,0.6556
2021-07-03,1259,0.6732
2021-07-04,1314,0.696
2021-07-05,1254,0.6526
2021-07-06,1263,0.6648
2021-07-07,1266,0.6522
2021-07-08,1262,0.6215
2021-07-09,1257,0.6369
2021-07-10,1290,0.6246
2021-07-11,1294,0.6364
2021-07-12,1326,0.6288
2021-07-13,1285,0.6192
2021-07-14,1274,0.6197
2021-07-15,1397,0.5979
2021-07-16,1328,0.5893
2021-07-17,1290,0.5821
2021-07-18,1296,0.5866
2021-07-19,1315,0.557
2021-07-20,1274,0.5284
2021-07-21,1308,0.5719
2021-07-22,1319,0.592
2021-07-23,1302,0.6091
2021-07-24,1313,0.6085
2021-07-25,1318,0.6069
2021-07-26,1371,0.6234
2021-07-27,1309,0.6451
2021-07-28,1615,0.7327
2021-07-29,1501,0.7488
2021-07-30,1520,0.7521
2021-07-31,1307,0.746
2021-08-01,1379,0.7242
2021-08-02,1301,0.738
2021-08-03,1297,0.7136
2021-08-04,1332,0.731
2021-08-05,1292,0.7327
2021-08-06,1333,0.7474
2021-08-07,1554,0.8162
2021-08-08,1403,0.7788
2021-08-09,1392,0.817
2021-08-10,1494,0.8511
2021-08-11,2572,1.0105
2021-08-12,1471,0.966
2021-08-13,1615,1.0901
2021-08-14,2255,1.2791
2021-08-15,1931,1.2839
2021-08-16,1553,1.1855
2021-08-17,1424,1.0978
2021-08-18,1438,1.1431
2021-08-19,1464,1.2347
2021-08-20,1462,1.2629
2021-08-21,1353,1.2158
2021-08-22,1362,1.226
2021-08-23,1527,1.2457
2021-08-24,1389,1.1353
2021-08-25,1382,1.1735
2021-08-26,1342,1.0712
2021-08-27,1390,1.1918
2021-08-28,1341,1.1459
2021-08-29,1334,1.1408
2021-08-30,1323,1.1002
2021-08-31,1657,1.1856
2021-09-01,1402,1.2362
2021-09-02,1541,1.2533
2021-09-03,1541,1.2907
2021-09-04,1352,1.2548
2021-09-05,1428,1.3076
2021-09-06,1860,1.3894
2021-09-07,1463,1.1292
2021-09-08,1313,1.0998
2021-09-09,1366,1.0868
2021-09-10,1440,1.0552
2021-09-11,1376,1.0787
2021-09-12,1343,1.1181
2021-09-13,1285,1.0643
2021-09-14,1377,1.0963
2021-09-15,1369,1.1207
2021-09-16,1311,1.0902
2021-09-17,1292,1.0661
2021-09-18,1325,1.0751
2021-09-19,1325,1.0483
2021-09-20,1343,0.9216
2021-09-21,1301,0.8743
2021-09-22,1408,1.0033
2021-09-23,1327,1.0016
2021-09-24,1271,0.944
2021-09-25,1314,0.94
2021-09-26,1287,0.9436
2021-09-27,1291,0.9218
2021-09-28,1247,0.8928
2021-09-29,1347,0.9268
2021-09-30,1297,0.9533
2021-10-01,1430,1.0422
2021-10-02,1319,1.0359
2021-10-03,1392,1.0552
2021-10-04,1303,1.0425
2021-10-05,1356,1.0839
2021-10-06,1400,1.0765
2021-10-07,1313,1.0678
2021-10-08,1289,1.0636
2021-10-09,1876,1.1604
2021-10-10,1551,1.1352
2021-10-11,1316,1.1364
2021-10-12,1270,1.1018
2021-10-13,1332,1.1275
2021-10-14,1325,1.1336
2021-10-15,1326,1.1413
2021-10-16,1335,1.1343
2021-10-17,1295,1.0944
2021-10-18,1307,1.0827
2021-10-19,1322,1.0911
2021-10-20,1361,1.1455
2021-10-21,1314,1.0886
2021-10-22,1360,1.0885
2021-10-23,1292,1.0934
2021-10-24,1290,1.0821
2021-10-25,1285,1.0951
2021-10-26,1353,1.1075
2021-10-27,1303,0.995
2021-10-28,1337,1.0579
2021-10-29,1359,1.0825
2021-10-30,1346,1.0846
2021-10-31,1399,1.1128
2021-11-01,1315,1.0915
2021-11-02,1419,1.1349
2021-11-03,1819,1.2101
2021-11-04,1644,1.2004
2021-11-05,1314,1.1581
2021-11-06,1332,1.1484
